Country,Country code,2010
China,156,1368811
India,356,1234281
United States of America,840,309011
Indonesia,360,241834
Pakistan,586,179425
Brazil,76,195714
Nigeria,566,158503
Bangladesh,50,147575
Russian Federation,643,143479
Mexico,484,114093
Japan,392,128542
Ethiopia,231,87640
Philippines,608,93967
Egypt,818,82761
Viet Nam,704,87968
Democratic Republic of the Congo,180,64564
Turkey,792,72327
Iran (Islamic Republic of),364,73763
Germany,276,80827
